,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T13:00:00Z,31560,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T13:30:00Z,20451,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T14:00:00Z,20451,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T14:30:00Z,5461,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T15:00:00Z,5461,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T15:30:00Z,696,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T16:00:00Z,696,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T16:30:00Z,3286,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T17:00:00Z,3286,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T17:30:00Z,2096,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T18:00:00Z,2096,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T18:30:00Z,8448,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T19:00:00Z,8448,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T19:30:00Z,23514,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T20:00:00Z,23514,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T20:30:00Z,44801,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T21:00:00Z,44801,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T21:30:00Z,54366,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T22:00:00Z,54366,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T22:30:00Z,52037,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T23:00:00Z,52037,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-17T23:30:00Z,48693,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T17:00:00Z,0,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T17:30:00Z,3780,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T18:00:00Z,3780,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T18:30:00Z,77321,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T19:00:00Z,77321,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T19:30:00Z,80620,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T20:00:00Z,80620,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T20:30:00Z,84759,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T21:00:00Z,84759,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T21:30:00Z,82175,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T22:00:00Z,82175,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T22:30:00Z,81486,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T23:00:00Z,81486,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-18T23:30:00Z,74755,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T00:00:00Z,74755,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T00:30:00Z,99265,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T01:00:00Z,99265,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T01:30:00Z,97941,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T02:00:00Z,97941,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T02:30:00Z,95532,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T03:00:00Z,95532,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
