timestamp,_time,_value,_measurement,_field,equipo,campo_equipo
2026-01-06 13:43:00.000000,2026-01-06T13:43:00+00:00,8690.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:44:00.000000,2026-01-06T13:44:00+00:00,5558.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:45:00.000000,2026-01-06T13:45:00+00:00,9088.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:46:00.000000,2026-01-06T13:46:00+00:00,9056.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:47:00.000000,2026-01-06T13:47:00+00:00,9715.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:48:00.000000,2026-01-06T13:48:00+00:00,5584.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:49:00.000000,2026-01-06T13:49:00+00:00,3938.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:50:00.000000,2026-01-06T13:50:00+00:00,3647.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:51:00.000000,2026-01-06T13:51:00+00:00,3622.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:52:00.000000,2026-01-06T13:52:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:53:00.000000,2026-01-06T13:53:00+00:00,7911.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:54:00.000000,2026-01-06T13:54:00+00:00,11900.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
